,s1,s2,s3,tot,s1-c,s2-c,s3-c,tot-c,wrong-s3,wrong-s3-c
serial code,311498262,1373584908,2653850,1687737021,79126068,312865531,624259,392615859,,
CPU 1 OpenMP thread,298756848,1857901633,4771859,2158020244,80719846,445409311,1187964,526474871,1361762,345713
CPU 2 OpenMP threads,155991204,1041022705,893952,1198527741,41153264,278355879,269349,319852596,1513831,343453
CPU 3 OpenMP threads,136610197,852609652,749470,990710183,32042337,216013287,195887,248396344,1490332,340719
CPU 5 OpenMP threads,83452226,707890164,581236,792603520,25191003,190818664,157728,216348061,1261129,338392
CPU 10 OpenMP threads,89198826,622247589,586529,712770881,25226254,169771404,389873,195382779,1324466,385119
CPU 20 OpenMP threads,56511723,625559423,934488,683434573,15602766,172398153,194134,188390877,1363426,389958
CPU 30 OpenMP threads,44319682,608173851,546069,653809843,12235962,155088668,180383,167700343,1316309,375712
CPU 40 OpenMP threads,35753010,623831700,573134,660901677,12170903,158817703,547370,171365108,1316965,376501
CPU 50 OpenMP threads,29127475,597872507,635978,628320027,12953804,158601784,177559,171901202,1320044,345613
OpenACC,317917536,1914215952,1226105,2233359593,91174645,534558980,317655,626051281,,
